"","character(0)"
"insofar",1
"installed",8
"installed,",1
"instance",16
"instance,",1
"instance.",1
"instances",1
"instances,",1
"instant",2
"instead",5
"instead,",5
"instruction.",1
"instructions",9
"instructions,",1
"intake",5
"integrated",3
"intended",10
"intensity",2
"interaction",2
"interchangeable",1
"interconnected",1
"interconnection",2
"interface",10
"interfaces",1
"interfere",2
"interferes",1
"interfering",2
"interior",5
"interior.",1
"interlock",3
"interlock.",1
"interlocks",8
"interlocks,",1
"internal",19
"interpreted",5
"interruptions",1
"interval.",1
"intervening",2
"intervention.",2
"invention",93
"invention,",13
"invention.",16
"invention.detailed",2
"invention.exemplary",2
"invention.fig.",8
"invention.g.",1
"invention.therefore,",1
"inventiona.",1
"inventionaccording",1
"inventionfig.",1
"inventionin",2
"inventionreference",1
"inventions",6
"inventionthe",9
"inventionthis",1
"inventors.",1
"involved",1
"involves",1
"involving",1
"inward",2
"inwardly",3
"isolated",3
"isolation",1
"isometric",4
"jamming",1
"john",2
"joined",1
"joining",1
"joint",1
"joints,",1
"jones",1
"jun.",1
"just",1
"jutting",2
"keeping",1
"kent",1
"kept",1
"key",12
"key,",1
"keyed",1
"keyed.",1
"keys",1
"kill",1
"kilograms,",1
"knife",12
"knife),",1
"knives",61
"knives,",3
"knives.",2
"knowledge",1
"known",13
"known.ep",1
"kw,",1
"kw.",1
"l-shaped",2
"laborious",1
"land",1
"large",19
"large.",2
"larger",22
"last",5
"lateral",5
"laterally",4
"law",1
"lawn",101
"lawns,",1
"layer",17
"layers",2
"lead",7
"leaf",1
"leaking",1
"least",69
"leaves",12
"leaves.",1
"leaving",3
"left",62
"legal",3
"length",7
"lentz",2
"less",5
"level",8
"level,",2
"leveling",2
"lever",1
"levers,",3
"levers.",1
"lie",1
"lift",3
"lifted",1
"lifting",1
"light",16
"light-metal",2
"lights",2
"like",32
"like,",2
"like.",8
"like)",1
"like).",1
"likelihood",2
"likewise",2
"likewise,",2
"limit",8
"limitation",1
"limitation.",2
"limited",10
"limited.",1
"limiting",6
"limiting,",1
"limiting.",1
"limiting.brief",1
"line",77
"line.",4
"linearly",1
"lines",106
"lines,",7
"lines.",5
"lines.figs.",1
"lines)",2
"lines).",2
"linkage",2
"linkages",1
"linked",1
"lips",8
"lips;",2
"liquid",65
"liquid,",1
"list",1
"lit",1
"lit,",1
"lit.",1
"loaded",2
"loading",77
"loadings",1
"located",45
"located.",1
"location",4
"locations,",1
"lock,",1
"locked",2
"locking",31
"lodged",1
"logic",4
"logical",2
"logics",1
"longer",1
"longer.evidently,",1
"longitudinal",26
"loosen",1
"loosened",1
"lose",1
"loss",1
"low",4
"lower",30
"lowered",1
"lowest",1
"m′)",9
"m′),",2
"m′).",2
"machine",9
"machine,",8
"machine.",2
"machines",2
"macro",1
"made",36
"made,",2
"made.",1
"magnetic",1
"magnets).",1
"main",57
"mainline",1
"mainline.",1
"maintain",8
"maintained",2
"maintaining",4
"maintains",1
"maintenance",3
"maintenance.",1
"majority",2
"make",5
"makes",5
"making",6
"managed",1
"management",1
"manifold",48
"manifolds",6
"manner",16
"manner,",2
"manner.",3
"manual",8
"manually",6
"manually.",1
"many",5
"mar.",2
"mass",13
"masses",28
"masses,",1
"masses.",2
"masses.advantageously,",1
"masses),",1
"master",2
"mate",1
"material",56
"material,",2
"material.",6
"material.b.",1
"materials",7
"materials,",3
"materials.vibrators",1
"materials)",1
"matter",4
"maturity",1
"maximum",12
"may",529
"may,",2
"mean",1
"meaning",2
"means",12
"means.",2
"means.alternatively",1
"meant",1
"meanwhile,",13
"measure",3
"measured",8
"measures",3
"measuring",1
"mechanical",4
"mechanical/safety",1
"mechanically",4
"mechanism",9
"mechanisms",2
"mechanisms.",2
"mechanisms).",1
"mechanized",2
"media",2
"medial",5
"medium",4
"medium/memory)",1
"meets",1
"member",20
"member.",2
"members",17
"memory",20
"mentioned",3
"mentioned,",2
"merely",3
"message",3
"messy",1
"messy,",1
"metal",2
"meter",17
"metered",12
"metering",84
"meters",3
"meters.",2
"method",23
"method.",1
"methods",2
"microprocessor",1
"mid-portion",1
"middle",5
"might",2
"miles",1
"mind",2
"minimum",15
"minute",1
"minute.",1
"mir",14
"mirror",3
"mirroring",2
"mixed",1
"mixing",1
"mixing.summary",1
"mobile",1
"mobility",8
"mode",2
"mode—first",1
"mode)",1
"model.",1
"models",1
"modernized",1
"modification",11
"modifications",14
"modulation",1
"moldboard",34
"moldboard,",2
"moldboard;",1
"moldboard.",4
"moldboard.moreover,",1
"molded",1
"momentary",6
"monitor",1
"moreover,",15
"mostly",2
"motion",6
"motion,",2
"motion.",1
"motion).",1
"motor",25
"motor,",2
"motor.",3
"motor),",1
"motors",2
"motors,",1
"mounted",40
"mounted,",2
"mounted.",4
"mounting",15
"movable",3
"move",14
"moved",17
"movement",35
"movement.",2
"movements",6
"moves",6
"moving",12
"mow",8
"mow--reverse",8
"mower",10
"mower,",6
"mower.",3
"mowers",9
"mowers,",2
"mowers.",3
"mowing",5
"mph",1
"mri",1
"mtb)",2
"mtb).",1
"much",2
"mud",1
"mulched,",1
"mulching.",1
"multi-compartment",2
"multiple",10
"multiply",2
"multitude",2
"must",17
"mutual",5
"nace",3
"namely",2
"nature",3
"near",6
"nearby.",1
"necessarily",4
"necessary",5
"necessary,",1
"need",12
"needed",3
"needed.e.",1
"needing",1
"needs",4
"needs.another",1
"needs.summary",1
"negative",1
"neither",1
"network",4
"neutral",25
"new",5
"next",1
"non",1
"non-limiting",1
"non-operational",1
"non-transitory",2
"non-variable",1
"non-volatile",1
"none",1
"normal",3
"noted",3
"notice",1
"notification",1
"notify",3
"novelty",1
"now",20
"nozzle",4
"nozzles",4
"nozzles;",1
"null",2
"number",22
"numeral",2
"numerals",4
"numerous",3
"nut/bolt",1
"object",10
"objects",4
"objects,",2
"oblique",1
"obliquely",10
"obstacles,",1
"obstructed",1
"obstruction",3
"obstructions",4
"obstructions.",1
"obtain",5
"obtained",1
"obtaining",1
"obvious",3
"occur",3
"occur,",2
"occurs",1
"occurs,",1
"occurs.",1
"octagonal,",2
"offset",4
"often",9
"omnidirectional",1
"one",276
"one,",2
"ones",4
"onto",14
"open",14
"open,",4
"open.",1
"opened",4
"opening",13
"opening,",1
"opening.",2
"openings",7
"opens",4
"operability",1
"operable",18
"operably",13
"operands",2
"operate",7
"operated",16
"operates",1
"operating",11
"operation",114
"operation,",6
"operation.",2
"operational",18
"operational.",1
"operations",15
"operations.",2
"operator",56
"operator,",2
"operator.",8
"operator's",2
"operators",4
"operators.brief",1
"oppose",1
"opposed",1
"opposing",3
"opposite",36
"opposition",1
"optimization",1
"optimize",1
"optimum",2
"optional",4
"optionally",1
"order",46
"ordinary",2
"organic",2
"organization",1
"orientation",6
"orientation,",9
"orientation.fig.",1
"orientation),",1
"orientations",1
"oriented",4
"orifice",17
"orifice,",1
"orifice.",2
"orifices",4
"orifices.",1
"ornamental",1
"orthogonal",1
"orthogonally",1
"oscillation",1
"oscillations",2
"others,",1
"otherwise",13
"outdoor",8
"outer",7
"outfitted",1
"outlet",14
"outlet,",1
"outlined,",2
"output",14
"outputs",2
"outside",14
"outward",12
"outwardly",6
"overall",8
"overcome",2
"overcoming",1
"overlap",9
"overlapping",2
"overrides.",1
"overview.turning",1
"overwinter",2
"oxen",1
"packages",1
"pair",21
"paired",4
"pairs",5
"panel",7
"panel.",1
"panels",2
"paper",2
"parallel",30
"parameterization,",1
"parameters",1
"parameters,",1
"parking",1
"part",22
"partial",1
"partially",7
"partially,",1
"partially.de",1
"particle",12
"particles",2
"particles,",2
"particles)",1
"particular",19
"particular,",16
"particularity",1
"particularly",6
"particularly,",4
"particulate",52
"parties",1
"parts",12
"parts.",1
"parts.thus,",1
"parts).referring",1
"pass",9
"pass.",2
"passage",1
"passes",4
"passing",6
"past",1
"pat.",13
"patch",2
"patent",11
"patented",1
"patents,",1
"path",1
"path,",1
"pattern",1
"pedals",1
"pending",1
"pendulum",2
"penetrate",15
"penetrate,",1
"penetration",3
"people",1
"people.",1
"per",5
"perform",6
"performance",7
"performed",7
"performed.",2
"performing",2
"perhaps",1
"period",3
"periodically",2
"permanent",1
"permission",1
"permit",4
"permits",2
"permitted",1
"perpendicular",6
"perpendicularly",3
"person",2
"perspective",39
"pertain",2
"pertains",1
"pesticides,",1
"phase",1
"phenomenon",1
"phraseology",1
"physical",2
"physically",2
"pick.",1
"picked",1
"picking",130
"pictured",3
"pid",1
"pid.",1
"piece",2
"pile.",1
"pin",29
"pin,",1
"pin.",1
"pin)",1
"pin).",1
"pins",5
"pins,",1
"pipe",1
"pipe,",4
"pipes",1
"pivot",1
"pivotal",2
"pivotally",2
"pivoted",2
"pivots",2
"place",6
"placed",1
"placement",1
"places",1
"planar",1
"plane",6
"plane,fig.",2
"plane.",10
"planes",14
"planes,fig.",2
"planetary",1
"plant",16
"planted,",1
"planted.",2
"planter",31
"planter.",2
"planter..",1
"planter.detailed",1
"planter)",1
"planters",9
"planting",39
"planting,",1
"planting.",1
"plants",3
"plants,",1
"plastic,",1
"plate",29
"plate.",2
"plate)",2
"plates",1
"plc",1
"pleated",1
"plough",1
"ploughed.",1
"ploughing",12
"ploughing,",1
"ploughing.",1
"ploughing.de",1
"plow",63
"plow,",5
"plow.",3
"plow..",1
"plow.therefore",1
"plow.therefore,",1
"plows",8
"plows,",1
"plows),",1
"plows).",1
"plurality",53
"pneumatic",49
"pneumatically",2
"point",20
"point,",2
"point.",3
"pointed",2
"points",2
"pollen",2
"poor",1
"port",12
"portion",73
"portions",45
"portions,",1
"portions.",4
"position",60
"position,",7
"position.",8
"position.fig.",2
"position.referring",1
"positionable",3
"positioned",45
"positioned.",1
"positioning",3
"positions",6
"possible",11
"possible,",2
"possible.",3
"possibly",1
"potential",1
"potentially",2
"power",48
"powered",4
"powered,",2
"powering",3
"practical",2
"practically",1
"practice",1
"practice,",1
"practiced",5
"precedes",1
"precise",1
"predefined",6
"predetermined",5
"preexisting",1
"preferable",1
"preferably",26
"preferred",5
"preparation",1
"prepare",2
"prepared",6
"preparing",1
"presence",2
"present",91
"present,",2
"present.",2
"presented",3
"presenting",1
"presents",1
"pressure",90
"pressure,",4
"pressurized",2
"prevent",29
"prevented",11
"preventing",8
"prevention",2
"prevents",4
"previous",2
"primarily",1
"primary",102
"principles",4
"prior",31
"priority,",1
"problem",1
"problematic",2
"problems",3
"proceed",5
"process",5
"process.",1
"processes",1
"processing",61
"processing,",1
"processor",27
"produce",2
"produced",3
"produces",1
"product",108
"product,",1
"product.",1
"products",9
"products,",2
"profile",2
"profile,",2
"profile.",2
"program",1
"programmable",1
"programmed",1
"project",2
"projecting",1
"projection",1
"projects",1
"propagating",1
"proper",3
"properly",1
"properly.",1
"properly).",1
"property",2
"proportion",1
"proportional",2
"protect",2
"protrude",4
"provide",54
"provided",60
"provided,",6
"provided.",15
"provided.alternative",1
"provides",8
"providing",27
"provision",1
"provisional",3
"proximate",16
"proximity",4
"psi",5
"pto",192
"pto.",1
"publications,",1
"publications.",1
"published",1
"pull",1
"pulled",8
"pulley",2
"pulleys.",1
"pulling",5
"pulls",1
"pulse",1
"pulverize",1
"pulverized.",1
"pump",23
"pump,",3
"pump.turning",1
"pumped",1
"pumping",1
"pumps",4
"purpose",7
"purpose,",6
"purpose.",1
"purposes",5
"purposes.",2
"pursued",1
"pursuing",2
"push",6
"push-rod",1
"push-rod.",1
"pushed",2
"pushing",2
"put",5
"quickly",1
"quite",1
"quy",1
"radar,",1
"radial",5
"radially",12
"radially,",2
"radially.",1
"raised",3
"rake",69
"rake,",4
"rake.",8
"rake.another",1
"rake.u.s.",1
"rake.yet",1
"rakes",3
"rakes.",1
"raking",4
"raking,",2
"range",9
"range.although",1
"ranging",2
"rate",54
"rate.",4
"rate.turning",1
"rates",7
"rates.",3
"rather",2
"rather,",2
"ratio",2
"re-open",1
"reach",3
"reached,",2
"reaches",3
"readable",1
"readily",8
"readings",1
"readjust",1
"ready",1
"realized",2
"rear",42
"rear,fig.",4
"rear.",20
"rearward",2
"rearwardly",2
"reasons,",1
"receipt",6
"receive",20
"received",11
"received,",6
"receives",9
"receiving",19
"receiving,",1
"recent",2
"recently",1
"reception",1
"recognition",1
"recognized,",1
"recoil",2
"rectangular",9
"rectilinear",1
"redirect",1
"redirecting",1
"reduce",5
"reduced",1
"reduced.",1
"reduces",2
"reducing",4
"reduction",1
"refer",4
"reference",43
"references",3
"referred",8
"referring",1
"regard",1
"regard,",12
"regarded",1
"regarding",7
"regardless",3
"region",32
"region.instead",2
"regions",8
"regulations.",1
"reinforcement",1
"relate",10
"related",15
"relates",18
"relating",3
"relation",3
"relationships",4
"relative",28
"relatively",12
"relay",2
"relays",1
"releasable",3
"releasably",4
"release",3
"released",3
"releases",1
"releasing",2
"relevant",1
"reliance",1
"remain",9
"remaining",4
"remains",5
"remember",1
"removability",1
"removable",16
"removable.",2
"removal",10
"removal,",1
"removal.",1
"remove",26
"removed",24
"removed.",3
"removes",3
"removing",1
"repeated",1
"replaced",1
"repositioned.",1
"repositioning",3
"represent",2
"representation",3
"representation,fig.",2
"representative",2
"represented",1
"representing",1
"represents",1
"require",5
"required",6
"required,",1
"requirement",1
"requirements.",3
"requires",2
"requiring",5
"research",3
"reset",2
"resetting",1
"resilient",1
"resistance.",1
"resorted",2
"respect",15
"respect,",1
"respect.referring",1
"respective",67
"respectively",4
"respectively,",5
"respectively.",9
"respects",1
"response",5
"responsive",31
"rest",5
"rest,",1
"resting",5
"restore",1
"restricted",8
"restriction",1
"restrictive.",1
"restricts",2
"rests",4
"result",3
"result,",3
"resultant",1
"resulting",5
"results",4
"retain",6
"retained",2
"retains",1
"retract",1
"retracted",12
"retracts",1
"return",22
"returned",4
"returning",1
"returns",5
"reverse",23
"reverse,",4
"reverse.",6
"reversed)",1
"review",1
"revolutions",4
"revolve",2
"revolves",1
"revolvingly",1
"riding",64
"right",58
"rigid",1
"rigidity",1
"rivet,",1
"road",1
"robust",1
"rod",27
"rod-crank",1
"rod,",1
"rod.",2
"rods.",1
"roll",5
"rolled",1
"roller",54
"roller,",2
"roller.",8
"rollers",60
"rollers.",2
"rolling",2
"root",1
"rooted",1
"roots",3
"roots,",1
"roots.",1
"rotary",22
"rotatable",96
"rotatably",2
"rotate",21
"rotate.",2
"rotated",9
"rotates",1
"rotating",67
"rotation",40
"rotational",15
"rotor",9
"rotors",10
"routed",3
"routing",1
"row",36
"row--row",2
"row,",1
"row.",1
"rows",7
"rows.",2
"running",2
"runs",2
"safety",1
"said",19
"satisfaction",2
"satisfaction.brief",1
"satisfy",3
"saving",4
"saving.",1
"say",1
"scalar",2
"scale,",2
"schematic",7
"schematically",2
"scientific",1
"scope",10
"scope,",3
"screw",12
"screw,",1
"screws",1
"seal",2
"sealed",2
"season.",1
"seat",6
"seat,",3
"seat.",1
"seated",2
"second",120
"second).",1
"secondary",9
"seconds",1
"section",73
"section,",7
"section;",3
"section.",8
"section.also",1
"section.fig.",1
"section.summary",1
"sections",45
"sections,",3
"sections;",3
"sections.",6
"sections.fig.",1
"sections.various",1
"secured",2
"seed",82
"seed,",6
"seed.",3
"seeder",4
"seeder,",1
"seeder.fig.",1
"seeders",7
"seeders.",1
"seeding",14
"seeding.",1
"seeds",34
"seeds.summary",1
"seen",2
"segment",5
"segments",1
"selected",1
"selection",2
"selective",12
"selectively",22
"selector",53
"self-cleaning",33
"semi-carried",1
"sense",3
"sense.",1
"sensed",17
"sensor",46
"sensor.",1
"sensors",7
"sensors,",1
"sensors.",1
"sent",3
"separate",19
"separate)",1
"separated",3
"separately",1
"separately.",1
"separates",2
"separating",1
"separation",4
"separator",2
"sequence",2
"sequences",1
"sequences.",1
"sequential",8
"ser.",7
"series",4
"serve",4
"serves",1
"services",1
"servos,",1
"set",70
"set-point",2
"set-point,",1
"set,",1
"set.",1
"sets",28
"sets,",1
"sets.",2
"setting",1
"several",11
"shaft",177
"shaft,",5
"shaft.",10
"shaft.leaves",1
"shafts",22
"shafts.",2
"shall",1
"shape",7
"shape,",3
"shape.",2
"shaped",23
"shapes",1
"share",19
"share-moldboard",3
"share,",2
"share.moreover,",1
"sharpened,",2
"sharpened.",2
"sharper",1
"sheet",2
"shield",2
"shielding",2
"shift",5
"shifted",2
"shoot",4
"short",1
"shorter",1
"shovel",1
"show",7
"showing",4
"shown",56
"shown,",2
"shown.",3
"shown)",5
"shown).",3
"shows",53
"shroud",4
"shut",3
"shutdown",9
"shutdown,",2
"shutdown.",1
"side",136
"side,",1
"side.",1
"sides",17
"signal",14
"signal,",1
"signal),",1
"signaling",2
"signals",6
"signals,",1
"signals.",1
"significant",1
"significant,",1
"similar",20
"similarly,",6
"simple",1
"simplicity",1
"simplified",1
"simply",2
"simultaneous",1
"simultaneously",1
"since",10
"single",26
"singulation",1
"sit",2
"situation",1
"situations",1
"situations.",1
"six",1
"size",7
"size,",4
"sized",5
"skill",1
"skilled",10
"slave",2
"sleeve",44
"slid",3
"slidable",9
"slidably",2
"slide",6
"slide,",1
"slide.",1
"slides",1
"sliding",13
"slightly",3
"slippage",1
"slipping",1
"slope",3
"slot",20
"slots",2
"slotted",1
"slower",1
"slows",1
"small",21
"smaller",18
"smooth",11
"snap",1
"snow",5
"snug",1
"sod",1
"software",3
"software,",2
"software)",1
"soil",31
"soil,",7
"soil.",8
"soil.air",1
"soil.brief",1
"soil.description",1
"soil.several",1
"soil.therefore,",1
"sold",1
"solenoid",1
"solid",1
"solutions",6
"solve",1
"solve,",1
"solved",2
"sometimes",3
"soon",1
"sort",1
"sowing,",1
"sowing.historically",1
"soybeans,",1
"space",2
"spaced",25
"spaced,",8
"spacing",1
"sparse",1
"speaking,",1
"specific",19
"specifically",8
"specifically,",1
"specification",5
"specification,",1
"specifications.",1
"specified",3
"spectrum,",1
"speed",36
"speed.turning",1
"speeds",4
"speeds,",1
"spiraling",44
"spirit",4
"spite",1
"split",9
"splits",1
"sponsored",2
"spray",2
"sprayed",3
"sprayer",4
"sprayer,",2
"sprayer.fig.",1
"sprayer.turning",1
"sprayers,",1
"spreader",2
"spring",11
"spring-loaded",4
"spring-loaded,",1
"spring-loaded.",1
"springs",2
"sprocket",22
"sprockets",1
"square,",2
"stages",1
"stages,",2
"stake",4
"stalk",2
"stalk.advantageous",2
"stamped",1
"stand-",1
"standard",2
"standing",1
"stands",1
"stapley",2
"start",6
"started",2
"starter",2
"starting",5
"starting.",2
"startup",6
"startup.",1
"startup.fig.",1
"state",41
"state,",3
"state.",5
"states",1
"statically",1
"station).",1
"stationary.",1
"stay",1
"steel",1
"steer",1
"steering",18
"step",7
"step--step",1
"still",5
"stir,",1
"stirred",1
"stocks.",2
"stones",1
"stop",4
"stopped",1
"stopper",2
"stoppers",3
"stopping",2
"stops",1
"store",6
"stored",4
"storing",1
"straight",2
"straighten",1
"strain",1
"strategy",1
"stream",60
"stream.",1
"stream.however,",1
"streams",3
"streams.",1
"streams.furthermore,",1
"strength",1
"strength,",1
"stretched",1
"strictly",3
"strip",79
"strip.",4
"structural",5
"structure",5
"structure.",1
"structures",2
"strut",2
"struts",10
"stuck",4
"style",1
"sub-assemblies",5
"sub-assemblies.",1
"sub-assembly",18
"sub-assembly.",2
"sub-claims.",2
"subject",3
"submitted",3
"subsequently",1
"subsequently,",2
"substantial",2
"substantially",44
"successive",1
"sufficient.",1
"sufficiently",1
"suitable",9
"suited",1
"summary",4
"summation",1
"sunflowers,",1
"supplied",3
"supplies",4
"supply",33
"supplying",10
"support",8
"supported",18
"supporting",13
"supports",2
"supports).",1
"surface",25
"surface.",2
"surfaces",1
"surround",2
"surrounding",7
"suspended",2
"sweep",1
"switch",128
"switch,",2
"switch.",6
"switches",2
"switches,",3
"switches.",1
"switching",3
"synchronized,",6
"system",61
"system.",1
"system.consequently,",1
"system.fig.",2
"systems",11
"systems,",4
"systems.",1
"tailored",1
"take",6
"take-",1
"taken",3
"takeoff",6
"takes",1
"taking",1
"talc",1
"talc,",3
"tangled",1
"tangling",1
"tank",36
"tank,",4
"tank.",1
"tank),",1
"tanks",9
"tape",27
"tape.",3
"tape.fig.",1
"tapered",7
"task",1
"task.",1
"tasks",3
"tasks,",4
"tasks.",2
"teaching",1
"teachings",2
"technical",3
"techniques",1
"teeth",10
"telescoping",1
"tendency",1
"tends",2
"tension.",1
"term",3
"terminology",3
"terms",6
"terms,",3
"testing",1
"text",1
"theoretically",1
"thereabove",1
"thereabove.",1
"thereafter",1
"thereafter,",1
"thereagainst",1
"therebelow",1
"thereby",14
"thereby.",3
"thereby.fig.",1
"thereby.one",2
"therefore",17
"therefore,",9
"therefrom",2
"therefrom.",8
"therein",6
"therein.",3
"thereof",14
"thereof,",4
"thereof.",19
"thereof.certain",1
"thereof.rakes",1
"thereon",6
"thereon,",4
"thereon.",7
"thereon.u.s.",1
"thereon.yet",1
"therethrough",8
"therethrough,",2
"therethrough;",1
"therethrough.",3
"thereto",7
"thereto.",5
"thereto.first",1
"therewith",1
"therewith;",1
"therewith.",1
"third",14
"thought",2
"three",18
"three,",2
"threshold",1
"threshold,",1
"throttle",1
"throttling",5
"throughout",7
"throughout.",2
"throughout.fig.",1
"throwers",1
"throwers,",1
"thus",17
"thus,",41
"tied",1
"tight",2
"tilled,",1
"tiller",47
"tiller,",2
"tiller.",2
"tiller).",1
"tillers",6
"tillers,",1
"tilling",4
"tilling,",1
"tilted",3
"time",13
"time,",2
"time.",1
"times",3
"times.",1
"timing",1
"tine",106
"tines",79
"tines.",12
"tines.backgroundgrounds",1
"tines.fig.",1
"tines.u.s.",1
"tip",1
"title",1
"today,",1
"together",11
"together.",1
"tool",6
"tool.",3
"tool)",1
"tools",8
"tools,",4
"tools.",1
"toothed",4
"top",29
"torque",1
"total",5
"touched",1
"toward",11
"towards",27
"towed",5
"tracked",1
"tracks",2
"tractive",1
"tractor",17
"tractor,",3
"tractor.",3
"tractor.fig.",1
"tractor.gb",1
"tractor),",1
"tractors",1
"tractors,",1
"tractors.traction",1
"traditional",12
"trailers,",1
"transfer",2
"transferring",1
"transfers",1
"transition",2
"transitions",1
"translate",3
"transmission",3
"transmit",1
"transmits",2
"transmitted",5
"transversal",1
"transversely",5
"trap",1
"travel",8
"travel,",1
"traveling",4
"travels",1
"traverses",1
"treated",1
"treatment",5
"treatment,",2
"treatments",1
"treatments,",1
"treatments.",1
"trees",1
"trigger",1
"triggered",5
"triggering",1
"trimming",1
"triple",1
"true",4
"true.",2
"trunk",8
"tube",35
"tube,",1
"tube.",1
"tubes",36
"tubes,",2
"tubes;",1
"tubes.",8
"tubing",3
"tubular",4
"turf",1
"turn",25
"turn.",1
"turned",5
"turning",3
"turns",1
"turns.",5
"twelve",1
"twice",1
"two",113
"two-fold",1
"two-step",1
"two-way,",2
"two,",3
"two)",1
"type",37
"type,",2
"type.",1
"types",8
"typical",2
"typical).",1
"typically",21
"u-shaped",4
"u.s.",18
"u.s.c.",2
"ultrasound",1
"underside",3
"underside,",2
"understanding",1
"understood",17
"understood,",3
"undertake",1
"undesirable",3
"unengaged.thereafter,",1
"unexpected",1
"unfortunately,",1
"unidirectional",3
"unique",1
"unit",85
"unit,",1
"unit:",1
"unit.",5
"unit.fig.",1
"unitary",2
"united",1
"units",43
"units.",2
"universal",1
"unless",2
"unlocking",1
"unploughed",1
"unrolled,",1
"unwanted",2
"upon",8
"upper",27
"uproot",1
"uprooted",1
"uprooting",1
"upsetting",1
"upstream",3
"upward",8
"upward).",1
"upwardly",2
"use",25
"use,",6
"use.fig.",1
"used",53
"used.",3
"useful",3
"user",33
"user,",2
"user.",4
"user's",1
"uses",1
"using",18
"usual",3
"utilize",3
"utilized",17
"utilized,",4
"utilizes",6
"utilizing",9
"vacuum",80
"valley",5
"valley.",1
"value",9
"value,",1
"values",3
"valve",47
"valves",73
"valves,",6
"valves.",1
"variability",1
"variable",8
"variation",2
"variations",4
"varied",6
"varied.innovative",1
"varies",2
"varieties",2
"variety",6
"various",37
"variously",1
"vary",12
"varying",3
"vectorial",1
"vegetation",2
"vehicle",65
"vehicle,",2
"vehicle.",5
"vehicle.backgroundlawn",1
"vehicles",4
"versa,",1
"version",1
"versus",3
"vertical",56
"vertically",5
"via",40
"vibrate,",1
"vibrating",4
"vibration",19
"vibration.",2
"vibrations",11
"vibrations.",2
"vibrations/min,",2
"vibrations/min.",1
"vibrator",67
"vibrator,",6
"vibrator;fig.",3
"vibrator.",3
"vibrator.optionally,",1
"vibrator.referring",1
"vibrator)",2
"vibrator),",1
"vibrators",9
"vibrators,",2
"vibrators.",1
"vibrators.therefore,",1
"vice",1
"vicinity",1
"view",67
"view,fig.",12
"views",5
"views,",3
"virtually",1
"virtue",1
"visual,",2
"visual)",1
"volatile",1
"volume",2
"volume,",1
"walk",11
"walk-behind",2
"walking",1
"wall",50
"wall,",1
"wall;",1
"walls",3
"walls,",4
"walls;wherein",1
"want",2
"waste",2
"water",1
"wattmeter",1
"way",15
"way,",5
"way.according",2
"ways.",3
"ways.referring",1
"weight",2
"weld,",1
"well",7
"well.",3
"wheel",19
"wheel,",1
"wheeled",1
"wheels",24
"wheels,",1
"wheels).",1
"whenever",3
"whereas",1
"whereas,",1
"whereby",4
"whereby,",1
"wherein",16
"wherein:fig.",5
"whereon",3
"whether",14
"whole,",1
"whose",2
"wide",3
"widely",3
"wider",2
"width",7
"width.",3
"width.fig.",1
"wieman",3
"will",71
"will,",1
"wing",4
"winged",1
"wires",1
"wishes",1
"within",59
"without",30
"words",5
"words,",5
"work",3
"work,",1
"worked",2
"working",21
"works",5
"worn-",1
"worsening",1
"wraps",2
"y-connector",3
"yard",1
"yards,",1
"yet",2
"yield",1
"zero-turn",1
"zone",41
"zone,",1
"zone;",3
"zone.",7
"zones",17
"zones,",5
"zones.",3
"zones.fig.",1
